account,received,timestamp
tlosto.seeds,1000,2019-12-19T19:59:49.500
invite.seeds,29868,2019-12-23T06:23:26.500
thealchemist,222000,2020-04-09T13:54:53.000
loveandlight,33330,2020-04-23T02:26:24.000
paulcoleman1,25000,2020-05-07T20:26:48.000
lecielfuture,520000,2020-05-07T20:26:48.000
thealchemist,1,2020-05-22T14:27:24.000
seeding1love,198000,2020-06-06T08:27:42.000
seeding1love,38500,2020-06-06T08:27:42.000
avivaaviva12,160000,2020-06-22T11:25:18.000
localearth11,2500,2020-07-05T04:12:06.000
integrity333,20000000,2020-07-05T04:12:06.000
atitlanhrbls,13052,2020-07-20T20:30:21.500
rbretminster,100000,2020-07-20T20:30:21.500
elviverolago,276507,2020-07-20T20:30:21.500
gradinagruiu,500000,2020-08-03T15:41:25.500
socentav1234,100000,2020-08-03T15:41:25.500
seedsembassy,250000,2020-09-02T15:05:02.000
carleymonty1,100000,2020-09-02T15:05:02.000
thealchemist,200000,2020-09-02T15:05:02.000
carleymonty1,206600,2020-09-17T12:17:18.500
ionregenerar,180000,2020-09-17T12:17:18.500
huertosparat,58667,2020-10-01T21:08:20.500
zaydelzaydel,50000,2020-10-01T21:08:20.500
igorberlenko,2816000,2020-10-01T21:08:20.500
cagettenetfr,500000,2020-10-01T21:08:20.500
zerofoodprt1,500000,2020-10-01T21:08:20.500
dianabehrens,123456,2020-10-16T19:19:43.000
grllagallery,3123634,2020-10-16T19:19:43.000
gradinagruiu,132544,2020-10-16T19:19:43.000
openclimatec,400000,2020-10-16T19:19:43.000
fwfrontiers1,2811380,2020-10-16T19:19:43.000
mangwendeoct,32592.51,2020-10-31T20:39:00.000
communityfnd,22222,2020-10-31T20:39:00.000
clean4planet,125000,2020-10-31T20:39:00.000
fincasagrada,154250,2020-11-15T12:01:12.000
genseedsrwds,62500,2020-11-15T12:01:12.000
thecatalyzer,2500,2020-11-15T12:01:12.000
feastonlife3,12500,2020-11-15T12:01:12.000
contourlinez,85000,2020-11-15T12:01:12.000
mangwendeoct,32592.51,2020-11-15T12:01:12.000
communityfnd,22222,2020-11-15T12:01:12.000
clean4planet,125000,2020-11-15T12:01:12.000
weareessency,50000,2020-11-30T08:46:12.000
icinetworkld,9929,2020-11-30T08:46:12.000
fincasagrada,154250,2020-12-01T03:09:16.500
genseedsrwds,62500,2020-12-01T03:09:16.500
thecatalyzer,2500,2020-12-01T03:09:16.500
feastonlife3,12500,2020-12-01T03:09:16.500
contourlinez,85000,2020-12-01T03:09:16.500
mangwendeoct,32592.51,2020-12-01T03:09:16.500
communityfnd,22222,2020-12-01T03:09:16.500
clean4planet,125000,2020-12-01T03:09:16.500
chirandu1234,62500,2020-12-14T17:24:54.000
thesisters23,38079,2020-12-14T17:24:54.000
sempervivum1,36912.5,2020-12-14T17:24:54.000
abasicincome,5550,2020-12-14T17:24:54.000
renaissanceu,660000,2020-12-14T17:24:54.000
weareessency,50000,2020-12-14T17:24:54.000
icinetworkld,9929,2020-12-14T17:24:54.000
fincasagrada,154250,2020-12-14T17:24:54.000
genseedsrwds,62500,2020-12-14T17:24:54.000
thecatalyzer,2500,2020-12-14T17:24:54.000
feastonlife3,12500,2020-12-14T17:24:54.000
contourlinez,85000,2020-12-14T17:24:54.000
mangwendeoct,32592.51,2020-12-14T17:24:54.000
communityfnd,22222,2020-12-14T17:24:54.000
clean4planet,125000,2020-12-14T17:24:54.000
seedsembassy,22116.75,2021-01-13T07:41:36.500
onetimesone1,52000,2021-01-13T07:41:36.500
oowseedslove,312410,2021-01-13T07:41:36.500
oowseedslove,299910,2021-01-13T07:41:36.500
stanleynyoni,95000,2021-01-13T07:41:36.500
chirandu1234,62500,2021-01-13T07:41:36.500
thesisters23,38079,2021-01-13T07:41:36.500
sempervivum1,36912.5,2021-01-13T07:41:36.500
abasicincome,5550,2021-01-13T07:41:36.500
renaissanceu,660000,2021-01-13T07:41:36.500
weareessency,50000,2021-01-13T07:41:36.500
icinetworkld,9929,2021-01-13T07:41:36.500
fincasagrada,154250,2021-01-13T07:41:36.500
genseedsrwds,62500,2021-01-13T07:41:36.500
thecatalyzer,2500,2021-01-13T07:41:36.500
feastonlife3,12500,2021-01-13T07:41:36.500
contourlinez,85000,2021-01-13T07:41:36.500
theseedsgame,125000,2021-02-12T11:24:00.000
baricharareg,25000,2021-02-12T11:24:00.000
dstudioproto,281250,2021-02-12T11:24:00.000
retribelife1,43750,2021-02-12T11:24:00.000
seedsembassy,22116.75,2021-02-12T11:24:00.000
onetimesone1,52000,2021-02-12T11:24:00.000
oowseedslove,312410,2021-02-12T11:24:00.000
oowseedslove,299910,2021-02-12T11:24:00.000
stanleynyoni,95000,2021-02-12T11:24:00.000
chirandu1234,62500,2021-02-12T11:24:00.000
thesisters23,38079,2021-02-12T11:24:00.000
sempervivum1,36912.5,2021-02-12T11:24:00.000
abasicincome,5550,2021-02-12T11:24:00.000
renaissanceu,660000,2021-02-12T11:24:00.000
weareessency,50000,2021-02-12T11:24:00.000
icinetworkld,9929,2021-02-12T11:24:00.000
seedsembassy,562500,2021-03-13T10:25:00.000
gesundaseeds,159750,2021-03-13T10:25:00.000
seedsembassy,135680,2021-03-13T10:25:00.000
oowseedslove,71430,2021-03-13T10:25:00.000
playfightnow,27750,2021-03-13T10:25:00.000
renaissanceu,430000,2021-03-13T10:25:00.000
