balance,account
1013636101.3938,gift.seeds
628318532,bank.seeds
541634936.265,escrow.seeds
346161936,allies.seeds
249885695.6448,refer.seeds
122478696,hypha.seeds
77696084.5924,colabm.seeds
27056401.8935,system.seeds
16128880.58,seedsembassy
12631286.2671,integrity333
12072104.0467,tlosto.seeds
7779936.0157,dao.hypha
3253070.16,samaratrusts
3061546.6449,starseedyogi
2768413,regenreboot1
2501101,fwfrontiers1
2055999,lightfood111
1824135.8033,dbeverywhere
1654664.0755,dangermouse1
1553259.87,renaissanceu
1501766.1968,greensurge12
1462569.4736,markflowfarm
1272774,sanbernadino
1272730,accountwayne
1258013.1526,mightymighty
1231926,renexplorers
1115350.3275,amm.swaps
1100691.4446,raoulpreller
1082772.5936,everywherehk
991456.8398,x.ptokens
952805.4466,seedsnftrees
944351,kinshipearth
921245.7583,radnadwinn45
888888.88,joylovepeace
750184.4337,solarpunkgrl
699769.0956,dstudioproto
660056.1595,stephenreid1
638101,gesundaseeds
597060.726,matteotangi1
596630.5915,join.seeds
585716.2643,romboxen1234
563823.4367,jasonrswamy1
541163.0168,illumination
510116.4702,carleymonty1
501003,theseedsgame
500001,light.food
497129,cagettenetfr
491385,zerofoodprt1
488857.17,clean4planet
486900,dstudioseeds
486165.0791,twakefield14
483879,fincasagrada
479395.6336,seeding1love
453474,bluenympheas
433086.1314,astoryteller
429058,eventandfest
425836.74,strongtree12
419142.2027,cometogether
400827.84,oowseedslove
388665.3947,stanleynyoni
377205.5726,marcwinnseed
369285,weworldpeace
367461.92,costaricauci
334758,lecielfuture
333835,dhotellcomms
333126,artmyartmyov
329991,marktain4532
329991,seedstastico
329962,gooddodo1234
327501,permacuibera
326841,pueblocaixil
314136.5962,nomik22kimon
311030,bethechangec
304410.1768,luigicarlini
294101,bomaikolojia
292565.96,contourlinez
291118.8662,abrancusi123
286720.5052,joshfielding
285619.0425,cyrusseeds44
255290,perfectcommu
252342,genseedsrwds
249638.65,ummilhaodear
241136.1462,montanath135
240580,giftgardunha
237913.527,stephend1111
237047.9997,christelos55
232266.0757,anahealingwo
219857.4207,lucklight333
212118.1,deedlesseeds
207543.9434,nicknotsanta
205507,hastenregen1
203405.1703,exponential1
203363.4622,thelovewitch
201817.9018,kimmarsh1111
201585.8457,cassiuscarv1
201321.0836,dandyshaman1
200090,evaohevaohev
200046,sebanieppe15
200006,weareessency
199336,grassrootsec
195436.6236,julzflowfarm
186042.4276,willblakey11
182804.3242,paulcarvalho
181697,ionregenerar
181546.5608,cathk33seeds
167364.741,vault.hypha
165601,kenyancircle
159321.3134,dekeezach112
159234.21,greenemerald
156698.1653,apostolseeds
155435.7951,dianabehrens
155041,avivaaviva12
153486.0284,cambiamento4
151580.9554,feedthebirds
151576.1235,anonymousmax
150865.2881,ombombadi11o
144616.2491,dayagardunha
144527,smileyhjh334
143984,teresarojo11
142486,lejardinier3
142092.3555,valueflowlab
138430,openclimatec
138058.5,paloma111111
137372.0683,paulinhoy434
134808.5,retonotextil
133427.7589,fleuredevie5
132441.6459,saintpatrick
130945.029,etherweaver1
127001,chirochrisdc
126436.7191,lisalight231
125764.3231,theremotecub
125001,artkristenla
124430.16,happyciyz243
123258.5,gabrielabelt
122806,hubcastmedia
122620,natalierosas
117583.5,raquelgeroni
114931,sabereslibre
114655.0183,neiltakemoto
112261,treadsoftly1
111106,playfightnow
109895.1717,rainskyarel5
109877.1915,rozziesavage
109418.7966,walterfritha
108545.3501,martinaepple
106973.63,marshmediaok
106897.427,dimaapelbaum
106762.2671,stephengomes
105026.2,vivienleung2
103120.79,pardeeps1121
101884.4447,originalogos
101689.5209,ugxxqvybh233
100379.9659,petefrazer44
100006,appleman2121
100006,jonasabra251
100001,papayatelos1
98142.1783,harsimar1234
98011,socentav1234
97548.327,melodzogu215
96896,retribelife1
96302,seedslibrary
95299,earthsworld1
95042.86,joachimstroh
94697.5,dlocupar1224
94169.5467,inhabit4love
93208.5,tessymorelos
93119,meivgdkyu211
92086,plankner1331
90993,zaydelzaydel
90299.7926,robbowerl322
90161,taniacoelhoo
89024.2967,seedsampler4
88479.868,vixdesignreg
88088.8768,taeolroiya32
86540.0581,atmalife2312
86231.9999,conscioush2o
86031.2883,gilbapblx225
85757.6578,localscaling
84780,alshehhi3ssh
84757,radiantseeds
83200.0032,cobybabanicb
81041.0064,takayaren555
80639.5676,yanbeltramet
80447.7231,nalunation21
80159,communityfnd
79551,poetrygestel
79285.29,todossantos4
79270.1373,elainenfr421
78225.0122,zequezzeuqez
77972.58,buddhawangyi
76660.1377,telmagomes11
76039.7633,lightcivk315
75507.1617,sarahkalmeta
75458.9438,moniekaseeds
75187.8112,alnaboodah41
74762.0634,alqassimi111
74571,fernandapiam
74498.08,grllaseedart
74360.0446,andresferran
73725.2157,abaltodanoe1
73593,onetimesone1
73181,seedsofheart
73093.7149,syddreams123
71921.1321,bartelbertse
71204.8321,f4b1vuk1seed
71019.4332,christgronv1
69852.6876,raviresck123
69307.9999,gaiaholonica
69103.1952,natajuvbr125
68722,hay4vpdic311
67620.3664,jedipath3335
66100.52,maxzflowfarm
65590.4875,anneloes3313
65246.604,colinlim3111
64337.3529,coworkingvad
64177.3974,freeminister
63604.5262,aleksandardj
63221,gooddeedseed
62620.0912,jaclynjhin11
62240.5775,carabentiz55
61984.52,adammsirvins
61188.52,billflowfarm
60886,thirteendays
60830.902,han2es3ringo
60752.25,jaquerespeis
60750.2663,clovechappys
60720.467,lettywyse333
58965.8187,thankutma323
57609.7793,papayafunds2
57272,rebuild555co
56715,kirifhdau524
56566,alvarcidane1
56566,edmuller1234
56566,exdwskala423
56561,erickbv12345
56556,pablopiwg231
56536,sioekhkpw155
55831.48,rdboiphunkie
55793.0741,heikenierman
55749.0382,nadimhamdan1
55654.4391,alinevanmoer
55566,avalonvvr322
54601,feastonlife3
54179.8258,zahraindigos
53636.95,maheba25guer
53350.8152,thaynaran322
53154.0336,husdx.seeds
52647,jyotimaseeds
52416,solyvalleorg
52291.2253,deboratimoss
52269.2077,wylwanjaferk
52095.65,nerizantin13
51899,evapascual13
50540.6083,kuleziseeds1
50392.3955,niknik115142
50197.9769,philippajm14
50129.0004,barthoorweg1
50042,eatonmotiond
50035,greenkawoq13
50006,aberke54321a
50001,bastienseeds
49637.6417,regenprotocl
49580.998,rosanavichoc
49353.9161,evgeiobrn243
49329.0004,rayoflight33
49218.722,nadykhuzayim
49198.4846,psihognjen34
49010.8188,jasondoh1155
48556,atlancocolab
47845.1226,giytaobuhege
47358,darwinkza355
47205.756,milaecdap141
47002,diet4planet1
46926.9735,cambiamento1
46633.1455,gebhardbeckj
46473.1626,naryanwongnw
46468,zerokewl2413
46456.3,miacryptoexp
45955.7322,lalagardens1
45682.1004,ruiillyah455
45446,angelalegh4u
45105.4994,andresaito11
45028,dcmgmaocl3cr
44980.9989,jaimeisseeds
44445,watervoices1
43849,hiarayuldana
43650.3897,laurenarcher
43058.1648,kyliathymeta
42839,nahtanojnew1
42837.2502,kompassrose3
42692.11,emmapionberl
42623,findingvalue
41447.9017,theollaps123
41299.8306,jlovedfxjj33
40610.7957,parfaitmugis
40139.3288,marshalneyer
39674,samenspendep
39534.3844,hyphanewyork
38974.417,terrioxbh434
38846,reynaestefan
38803.5552,trusttheu123
38663.7721,aryabhattaaa
38569,pifezcxqr441
38259.95,treetopseeds
37719.9123,andytheseeds
37557,jayozonew511
37459,mygreenearth
37390.6397,barmseekri13
36797.9504,sapientblock
36775.02,letsplantsds
36600,permatoursss
35840.6496,linekeheus55
35786.8945,derjogi11111
35430.0173,mikqucgqz435
35327.7239,fastforward1
34964.4745,kyrian111111
34924,leonneguel21
34923.98,max5lights24
34554.2113,jasmeenhana1
34071,dayanrzig211
34062,helenavbn523
34061,anarrzeyb452
34061,victorial254
34044,icinetworkld
33881.8408,h3o2lvherald
33713.435,supernatural
33332,emakenslz215
33329,dstudiopacha
33108.305,philholon333
33015.8059,aliciaved111
32901,stuarttaylor
32719.9505,leonieherma1
32662.6,itsericbrown
32657.2493,aquafloraben
32177,melquegcosta
31845.0175,fjoddefjodde
31820,gilokarkj453
30916.39,dstudiobrazl
30879.5251,skyblueearth
30806.4192,mayedah12345
30095,luishporras1
30059,rashedsaeed1
30048,mirisimsek11
29516.9576,bodyreligion
29228.893,kellykrezek1
29160,shreembrzee1
29107,holapatricia
29011,taniabiocr12
28850.6949,luisfercasti
28740,chavaelmercr
28602.0454,marcusefj253
28596,adrianavilla
28520.0829,lolacoats144
28428.0387,stefanrust12
28364.9997,thepsilonaut
28343.0001,mariam123455
28256,anairdaziurx
27969.2727,pinkmoontea1
27776.8664,jacezurmely1
27661.0017,johanneskbel
27487.0398,adrianwagner
27315.4531,chuckseattle
27159.2948,vifmxzwwx154
27019.1981,pedropaulodi
26810.5543,joemcveen111
26584.8278,lscaledotorg
26518,peterrakj234
26252.5198,ayurvedadave
25821.7807,regenerjoz24
25590.4827,nicaseed2121
25289.5111,gwsourcxk114
25218.1004,paulhynek132
25182.0254,maxbeaso1515
25133.449,richardgeorg
25082.9117,phoenixseeds
25080.3058,foxergames13
25015.5428,hernmtezt415
25001.387,alnabouda111
24892.7578,delaydackel1
24881.4717,wyllardtrees
24878.2908,rwjharries21
24852,dstudiotulsa
24801,tobitobsfree
24794.9667,dubiedubie13
24779.5469,wingeqocn332
24729.0026,wonghausers1
24588.1254,syoyfssqi434
24328.8762,gradinagruiu
24229.8255,eostokensdex
24121.7296,jeroenvermee
23829,paulcoleman1
23786.5172,solarhoward1
23780.9964,iampriestess
23711.3685,coyaayaseeds
23658.2024,realityfarms
23436.9113,mariallmayer
23431.8569,vcjzbtpgl451
23062.7391,sustainable3
22987.83,isairarivasa
22987.83,zoraidakarin
22939.545,christineeee
22744.45,bosquecomida
22714.3066,georgeashish
22596.8989,lesgavatxes1
22553.5466,johnbodiv451
22277,abasicincome
22269,gregebigsky1
22153.1082,cjjuarwnz315
22088.2559,tastysources
22001.2052,kfoxdhlgl255
22001,water1wisdom
21859.6851,funkyblais55
21607.9273,joeljaybrave
21519.1516,docvonweeden
21518.69,buckley32433
21329.3354,alekcnznn524
21185.1594,sonicsphinxy
21014.1382,faanch1134ac
21002,dstudiobasil
20874.08,trillium1111
20801,reelxpozure3
20635.3,csidibranda1
