account,amount,%,balance,date
bank.hypha,2669154.85,97.63,2669154.85 HUSD,2022-03-21T03:01:36.364Z
joachimstroh,18709.48,0.68,18709.48 HUSD,2022-03-21T03:01:36.238Z
anneloes3313,8541.72,0.31,8541.72 HUSD,2022-03-21T03:01:36.336Z
exponential1,8180.88,0.30,8180.88 HUSD,2022-03-21T03:01:36.358Z
hyphanewyork,4915.9,0.18,4915.90 HUSD,2022-03-21T03:01:36.300Z
adafriedrich,4740.8,0.17,4740.80 HUSD,2022-03-21T03:01:36.316Z
localscaling,2900.4,0.11,2900.40 HUSD,2022-03-21T03:01:36.288Z
seedsofheart,2182.2,0.08,2182.20 HUSD,2022-03-21T03:01:36.189Z
leoslaagr421,2000,0.07,2000.00 HUSD,2022-03-21T03:01:36.288Z
markflowfarm,2000,0.07,2000.00 HUSD,2022-03-21T03:01:36.374Z
husdx.seeds,1979.69,0.07,1979.69 HUSD,2022-03-21T03:01:36.296Z
pugaknzero15,1729.36,0.06,1729.36 HUSD,2022-03-21T03:01:36.359Z
dao.hypha,1278.72,0.05,1278.72 HUSD,2022-03-21T03:01:36.305Z
arsenijexxxx,1129.76,0.04,1129.76 HUSD,2022-03-21T03:01:36.355Z
coinbasebase,1012,0.04,1012.00 HUSD,2022-03-21T03:01:36.316Z
luigicarlini,992.37,0.04,992.37 HUSD,2022-03-21T03:01:36.365Z
paulcarvalho,484.22,0.02,484.22 HUSD,2022-03-21T03:01:36.359Z
gguijarro123,450.18,0.02,450.18 HUSD,2022-03-21T03:01:36.314Z
virtuousloop,421.36,0.02,421.36 HUSD,2022-03-21T03:01:37.102Z
sienaraa3535,357.58,0.01,357.58 HUSD,2022-03-21T03:01:36.301Z
stephengomes,250,0.01,250.00 HUSD,2022-03-21T03:01:36.316Z
thelovewitch,245,0.01,245.00 HUSD,2022-03-21T03:01:37.100Z
rpiesveloces,107.6,0.00,107.60 HUSD,2022-03-21T03:01:36.305Z
leonieherma1,53.5,0.00,53.50 HUSD,2022-03-21T03:01:36.312Z
cometogether,36.68,0.00,36.68 HUSD,2022-03-21T03:01:36.308Z
pmdwithseeds,23.46,0.00,23.46 HUSD,2022-03-21T03:01:36.374Z
evgeiobrn243,9,0.00,9.00 HUSD,2022-03-21T03:01:36.357Z
token.seeds,3.03,0.00,3.03 HUSD,2022-03-21T03:01:37.105Z
gerard5ph321,2.24,0.00,2.24 HUSD,2022-03-21T03:01:36.360Z
illumination,1.25,0.00,1.25 HUSD,2022-03-21T03:01:36.292Z
totohmshanti,0.9,0.00,0.90 HUSD,2022-03-21T03:01:37.105Z
matteotangi1,0.85,0.00,0.85 HUSD,2022-03-21T03:01:36.300Z
massimohypha,0.81,0.00,0.81 HUSD,2022-03-21T03:01:36.364Z
juliomonteir,0.73,0.00,0.73 HUSD,2022-03-21T03:01:36.337Z
khempoudel12,0.68,0.00,0.68 HUSD,2022-03-21T03:01:36.374Z
solomonx3333,0.6,0.00,0.60 HUSD,2022-03-21T03:01:36.296Z
thealchemist,0.6,0.00,0.60 HUSD,2022-03-21T03:01:37.100Z
atmalife2312,0.56,0.00,0.56 HUSD,2022-03-21T03:01:36.316Z
ugxxqvybh233,0.45,0.00,0.45 HUSD,2022-03-21T03:01:37.096Z
theremotecub,0.33,0.00,0.33 HUSD,2022-03-21T03:01:37.104Z
christelos55,0.32,0.00,0.32 HUSD,2022-03-21T03:01:36.374Z
martinaepple,0.32,0.00,0.32 HUSD,2022-03-21T03:01:36.364Z
seedspiyush2,0.27,0.00,0.27 HUSD,2022-03-21T03:01:36.292Z
abrancusi123,0.25,0.00,0.25 HUSD,2022-03-21T03:01:36.356Z
jasonrswamy1,0.17,0.00,0.17 HUSD,2022-03-21T03:01:36.284Z
gregory.tk,0.11,0.00,0.11 HUSD,2022-03-21T03:01:36.365Z
acascalheira,0.08,0.00,0.08 HUSD,2022-03-21T03:01:36.322Z
n.hypha,0.01,0.00,0.01 HUSD,2022-03-21T03:01:36.309Z
testingseed2,0.01,0.00,0.01 HUSD,2022-03-21T03:01:37.099Z
testingseeds,0.01,0.00,0.01 HUSD,2022-03-21T03:01:37.055Z
vedadogguija,0.01,0.00,0.01 HUSD,2022-03-21T03:01:37.105Z
aleksandardj,0,0.00,0.00 HUSD,2022-03-21T03:01:36.322Z
anahealingwo,0,0.00,0.00 HUSD,2022-03-21T03:01:36.374Z
