account,amount,%,balance,date
cometogether,764491.36,6.48,764491.36 HVOICE,2022-01-11T16:04:01.692Z
thealchemist,703840.85,5.97,703840.85 HVOICE,2022-01-11T16:04:04.278Z
thelovewitch,572167.37,4.85,572167.37 HVOICE,2022-01-11T16:04:04.265Z
hyphanewyork,537562.33,4.56,537562.33 HVOICE,2022-01-11T16:04:03.520Z
illumination,479602.01,4.07,479602.01 HVOICE,2022-01-11T16:04:03.575Z
joachimstroh,441377.38,3.74,441377.38 HVOICE,2022-01-11T16:04:03.521Z
astoryteller,378009.02,3.21,378009.02 HVOICE,2022-01-11T16:04:01.717Z
acascalheira,327038.12,2.77,327038.12 HVOICE,2022-01-11T16:04:01.688Z
luigicarlini,279158.99,2.37,279158.99 HVOICE,2022-01-11T16:04:03.558Z
seedspiyush2,274109.41,2.32,274109.41 HVOICE,2022-01-11T16:04:04.269Z
dangermouse1,270633.35,2.30,270633.35 HVOICE,2022-01-11T16:04:01.720Z
mightymighty,248335.32,2.11,248335.32 HVOICE,2022-01-11T16:04:03.576Z
loveandlight,234335.03,1.99,234335.03 HVOICE,2022-01-11T16:04:03.534Z
seeding1love,233976.39,1.98,233976.39 HVOICE,2022-01-11T16:04:04.267Z
vasylmarchuk,230491.66,1.95,230491.66 HVOICE,2022-01-11T16:04:04.263Z
nomik22kimon,217184.84,1.84,217184.84 HVOICE,2022-01-11T16:04:03.550Z
lisalight231,208918.91,1.77,208918.91 HVOICE,2022-01-11T16:04:03.576Z
esteesh12345,199199.95,1.69,199199.95 HVOICE,2022-01-11T16:04:01.710Z
evgeiobrn243,186434.79,1.58,186434.79 HVOICE,2022-01-11T16:04:01.697Z
gregory.tk,171677.34,1.46,171677.34 HVOICE,2022-01-11T16:04:03.505Z
sonicsphinxy,171502.06,1.45,171502.06 HVOICE,2022-01-11T16:04:04.235Z
leonieherma1,170970.6,1.45,170970.60 HVOICE,2022-01-11T16:04:03.525Z
aleksandardj,168509,1.43,168509.00 HVOICE,2022-01-11T16:04:01.688Z
juliomonteir,160564,1.36,160564.00 HVOICE,2022-01-11T16:04:03.583Z
paulcarvalho,155105.5,1.32,155105.50 HVOICE,2022-01-11T16:04:03.585Z
markflowfarm,152857.56,1.30,152857.56 HVOICE,2022-01-11T16:04:03.576Z
jasondoh1155,152490.57,1.29,152490.57 HVOICE,2022-01-11T16:04:03.553Z
exponential1,149680.91,1.27,149680.91 HVOICE,2022-01-11T16:04:01.702Z
supernatural,139131.57,1.18,139131.57 HVOICE,2022-01-11T16:04:04.225Z
theremotecub,134560.37,1.14,134560.37 HVOICE,2022-01-11T16:04:04.288Z
sanjayrajan1,127561.53,1.08,127561.53 HVOICE,2022-01-11T16:04:04.235Z
lukegravdent,122404.22,1.04,122404.22 HVOICE,2022-01-11T16:04:03.509Z
everywherehk,120001,1.02,120001.00 HVOICE,2022-01-11T16:04:01.731Z
solomonx3333,116906.34,0.99,116906.34 HVOICE,2022-01-11T16:04:04.260Z
jaclynjhin11,114202.23,0.97,114202.23 HVOICE,2022-01-11T16:04:03.585Z
rocklandroad,110001,0.93,110001.00 HVOICE,2022-01-11T16:04:04.260Z
biodiversity,109001,0.92,109001.00 HVOICE,2022-01-11T16:04:01.727Z
rainskyarel5,107726.44,0.91,107726.44 HVOICE,2022-01-11T16:04:04.233Z
stefanrust12,99463.98,0.84,99463.98 HVOICE,2022-01-11T16:04:04.286Z
localscaling,93351.37,0.79,93351.37 HVOICE,2022-01-11T16:04:03.558Z
gradinagruiu,91346.39,0.77,91346.39 HVOICE,2022-01-11T16:04:01.708Z
gerard5ph321,90153.66,0.76,90153.66 HVOICE,2022-01-11T16:04:01.984Z
abrancusi123,89681.91,0.76,89681.91 HVOICE,2022-01-11T16:04:01.676Z
gguijarro123,80171.52,0.68,80171.52 HVOICE,2022-01-11T16:04:01.704Z
sienaraa3535,77164.7,0.65,77164.70 HVOICE,2022-01-11T16:04:04.219Z
iampriestess,75001,0.64,75001.00 HVOICE,2022-01-11T16:04:03.576Z
adafriedrich,70191.57,0.60,70191.57 HVOICE,2022-01-11T16:04:01.687Z
massimohypha,69659.5,0.59,69659.50 HVOICE,2022-01-11T16:04:03.551Z
martinaepple,64546.2,0.55,64546.20 HVOICE,2022-01-11T16:04:03.575Z
sevenflash42,61399.3,0.52,61399.30 HVOICE,2022-01-11T16:04:04.222Z
natajuvbr125,59671.55,0.51,59671.55 HVOICE,2022-01-11T16:04:03.582Z
atmalife2312,56141.73,0.48,56141.73 HVOICE,2022-01-11T16:04:01.703Z
clarelaverty,54093.06,0.46,54093.06 HVOICE,2022-01-11T16:04:01.682Z
matteotangi1,51893.49,0.44,51893.49 HVOICE,2022-01-11T16:04:03.555Z
christelos55,50570.2,0.43,50570.20 HVOICE,2022-01-11T16:04:01.681Z
ugxxqvybh233,50377.79,0.43,50377.79 HVOICE,2022-01-11T16:04:04.269Z
montanath135,50001,0.42,50001.00 HVOICE,2022-01-11T16:04:03.510Z
searchingfor,50001,0.42,50001.00 HVOICE,2022-01-11T16:04:04.287Z
kimmarsh1111,45502.36,0.39,45502.36 HVOICE,2022-01-11T16:04:03.585Z
anneloes3313,44732.86,0.38,44732.86 HVOICE,2022-01-11T16:04:01.680Z
nahimafzal11,42501,0.36,42501.00 HVOICE,2022-01-11T16:04:03.582Z
georgetaylor,35001,0.30,35001.00 HVOICE,2022-01-11T16:04:01.726Z
minosdoros55,33592,0.28,33592.00 HVOICE,2022-01-11T16:04:03.582Z
khempoudel12,32200.97,0.27,32200.97 HVOICE,2022-01-11T16:04:03.509Z
belledemoise,30238.41,0.26,30238.41 HVOICE,2022-01-11T16:04:01.717Z
azarltfpa455,30001,0.25,30001.00 HVOICE,2022-01-11T16:04:01.704Z
dstudioproto,29955.75,0.25,29955.75 HVOICE,2022-01-11T16:04:01.683Z
nicktucker11,29022,0.25,29022.00 HVOICE,2022-01-11T16:04:03.579Z
totohmshanti,27389.37,0.23,27389.37 HVOICE,2022-01-11T16:04:04.261Z
willblakey11,26120,0.22,26120.00 HVOICE,2022-01-11T16:04:04.278Z
jasonrswamy1,25875.1,0.22,25875.10 HVOICE,2022-01-11T16:04:03.581Z
alanlaub1111,25001,0.21,25001.00 HVOICE,2022-01-11T16:04:01.679Z
alextrojan43,25001,0.21,25001.00 HVOICE,2022-01-11T16:04:01.713Z
cookieinbali,25001,0.21,25001.00 HVOICE,2022-01-11T16:04:01.722Z
febudfuture1,25001,0.21,25001.00 HVOICE,2022-01-11T16:04:01.712Z
greensurge12,25001,0.21,25001.00 HVOICE,2022-01-11T16:04:03.582Z
iblvnnwwrld1,25001,0.21,25001.00 HVOICE,2022-01-11T16:04:03.515Z
stephengomes,25001,0.21,25001.00 HVOICE,2022-01-11T16:04:04.256Z
tamsinrose22,25001,0.21,25001.00 HVOICE,2022-01-11T16:04:04.225Z
wearesailing,25001,0.21,25001.00 HVOICE,2022-01-11T16:04:04.285Z
imprvsociety,19869.62,0.17,19869.62 HVOICE,2022-01-11T16:04:03.560Z
