account,amount,%,balance,date
thealchemist,460623.79,15.61,460623.79 HYPHA,2022-01-11T00:51:55.555Z
cometogether,246275.01,8.35,246275.01 HYPHA,2022-01-11T00:51:53.839Z
dangermouse1,179775.97,6.09,179775.97 HYPHA,2022-01-11T00:51:53.822Z
hyphanewyork,179202.2,6.07,179202.20 HYPHA,2022-01-11T00:51:53.876Z
joachimstroh,124738.93,4.23,124738.93 HYPHA,2022-01-11T00:51:53.815Z
astoryteller,101859.98,3.45,101859.98 HYPHA,2022-01-11T00:51:53.848Z
illumination,96524.89,3.27,96524.89 HYPHA,2022-01-11T00:51:53.811Z
lisalight231,94053.43,3.19,94053.43 HYPHA,2022-01-11T00:51:53.867Z
biodiversity,92000,3.12,92000.00 HYPHA,2022-01-11T00:51:53.872Z
loveandlight,87129.7,2.95,87129.70 HYPHA,2022-01-11T00:51:53.814Z
thelovewitch,78357.28,2.66,78357.28 HYPHA,2022-01-11T00:51:55.522Z
markflowfarm,61223.16,2.08,61223.16 HYPHA,2022-01-11T00:51:53.844Z
acascalheira,57253.45,1.94,57253.45 HYPHA,2022-01-11T00:51:53.808Z
supernatural,56917.12,1.93,56917.12 HYPHA,2022-01-11T00:51:55.558Z
jaclynjhin11,54995.14,1.86,54995.14 HYPHA,2022-01-11T00:51:54.810Z
willblakey11,48778.83,1.65,48778.83 HYPHA,2022-01-11T00:51:55.536Z
iampriestess,45000,1.53,45000.00 HYPHA,2022-01-11T00:51:53.849Z
everywherehk,38400,1.30,38400.00 HYPHA,2022-01-11T00:51:53.833Z
vasylmarchuk,35033.74,1.19,35033.74 HYPHA,2022-01-11T00:51:55.526Z
luigicarlini,34984.32,1.19,34984.32 HYPHA,2022-01-11T00:51:53.878Z
paulcarvalho,33173.92,1.12,33173.92 HYPHA,2022-01-11T00:51:53.877Z
seeding1love,32258.84,1.09,32258.84 HYPHA,2022-01-11T00:51:55.517Z
montanath135,30000,1.02,30000.00 HYPHA,2022-01-11T00:51:53.857Z
searchingfor,30000,1.02,30000.00 HYPHA,2022-01-11T00:51:55.514Z
stefanrust12,29053.45,0.98,29053.45 HYPHA,2022-01-11T00:51:55.544Z
esteesh12345,23944.93,0.81,23944.93 HYPHA,2022-01-11T00:51:53.853Z
seedspiyush2,23605.73,0.80,23605.73 HYPHA,2022-01-11T00:51:55.535Z
nomik22kimon,22455.54,0.76,22455.54 HYPHA,2022-01-11T00:51:53.838Z
localscaling,21735.69,0.74,21735.69 HYPHA,2022-01-11T00:51:53.864Z
mightymighty,21691.39,0.74,21691.39 HYPHA,2022-01-11T00:51:53.823Z
exponential1,21564.63,0.73,21564.63 HYPHA,2022-01-11T00:51:53.874Z
georgetaylor,21000,0.71,21000.00 HYPHA,2022-01-11T00:51:53.859Z
abrancusi123,20875.39,0.71,20875.39 HYPHA,2022-01-11T00:51:53.806Z
clarelaverty,18270.46,0.62,18270.46 HYPHA,2022-01-11T00:51:53.805Z
nahimafzal11,17700,0.60,17700.00 HYPHA,2022-01-11T00:51:53.843Z
juliomonteir,15378.07,0.52,15378.07 HYPHA,2022-01-11T00:51:53.878Z
sonicsphinxy,15204.11,0.52,15204.11 HYPHA,2022-01-11T00:51:55.551Z
alanlaub1111,15000,0.51,15000.00 HYPHA,2022-01-11T00:51:53.868Z
alextrojan43,15000,0.51,15000.00 HYPHA,2022-01-11T00:51:53.868Z
cookieinbali,15000,0.51,15000.00 HYPHA,2022-01-11T00:51:53.863Z
febudfuture1,15000,0.51,15000.00 HYPHA,2022-01-11T00:51:53.815Z
greensurge12,15000,0.51,15000.00 HYPHA,2022-01-11T00:51:53.872Z
iblvnnwwrld1,15000,0.51,15000.00 HYPHA,2022-01-11T00:51:53.877Z
tamsinrose22,15000,0.51,15000.00 HYPHA,2022-01-11T00:51:55.501Z
wearesailing,15000,0.51,15000.00 HYPHA,2022-01-11T00:51:55.555Z
rocklandroad,14300,0.48,14300.00 HYPHA,2022-01-11T00:51:55.555Z
sevenflash42,13533.28,0.46,13533.28 HYPHA,2022-01-11T00:51:55.534Z
sanjayrajan1,13328.19,0.45,13328.19 HYPHA,2022-01-11T00:51:55.546Z
theremotecub,13012.67,0.44,13012.67 HYPHA,2022-01-11T00:51:55.540Z
gradinagruiu,9657.64,0.33,9657.64 HYPHA,2022-01-11T00:51:53.828Z
evgeiobrn243,9390.59,0.32,9390.59 HYPHA,2022-01-11T00:51:53.867Z
totohmshanti,8821.57,0.30,8821.57 HYPHA,2022-01-11T00:51:55.558Z
gregory.tk,8713.42,0.30,8713.42 HYPHA,2022-01-11T00:51:53.853Z
c1or1dons115,8665,0.29,8665.00 HYPHA,2022-01-11T00:51:53.818Z
solomonx3333,8229.66,0.28,8229.66 HYPHA,2022-01-11T00:51:55.542Z
leonieherma1,8034.97,0.27,8034.97 HYPHA,2022-01-11T00:51:53.855Z
westonshanec,8000,0.27,8000.00 HYPHA,2022-01-11T00:51:55.524Z
dao.hypha,7722.55,0.26,7722.55 HYPHA,2022-01-11T00:51:53.853Z
jasondoh1155,7587.21,0.26,7587.21 HYPHA,2022-01-11T00:51:54.828Z
nicktucker11,7255.25,0.25,7255.25 HYPHA,2022-01-11T00:51:53.877Z
aleksandardj,6572.62,0.22,6572.62 HYPHA,2022-01-11T00:51:53.825Z
zerowastebcn,6500,0.22,6500.00 HYPHA,2022-01-11T00:51:55.557Z
