account,amount,%,balance,date
thealchemist,459418.48,15.74,459418.48 HYPHA,2021-11-15T05:24:27.780Z
cometogether,243942.78,8.36,243942.78 HYPHA,2021-11-15T05:24:27.043Z
dangermouse1,179487.31,6.15,179487.31 HYPHA,2021-11-15T05:24:27.097Z
hyphanewyork,179202.2,6.14,179202.20 HYPHA,2021-11-15T05:24:27.073Z
joachimstroh,122560.53,4.20,122560.53 HYPHA,2021-11-15T05:24:27.060Z
astoryteller,101859.98,3.49,101859.98 HYPHA,2021-11-15T05:24:27.071Z
lisalight231,93958.47,3.22,93958.47 HYPHA,2021-11-15T05:24:27.087Z
illumination,93113.11,3.19,93113.11 HYPHA,2021-11-15T05:24:27.091Z
biodiversity,92000,3.15,92000.00 HYPHA,2021-11-15T05:24:27.048Z
loveandlight,86838.48,2.97,86838.48 HYPHA,2021-11-15T05:24:27.087Z
thelovewitch,78357.28,2.68,78357.28 HYPHA,2021-11-15T05:24:27.792Z
markflowfarm,60566.72,2.07,60566.72 HYPHA,2021-11-15T05:24:27.061Z
supernatural,56917.12,1.95,56917.12 HYPHA,2021-11-15T05:24:27.773Z
acascalheira,56456.21,1.93,56456.21 HYPHA,2021-11-15T05:24:27.042Z
jaclynjhin11,54995.14,1.88,54995.14 HYPHA,2021-11-15T05:24:27.062Z
willblakey11,50595.83,1.73,50595.83 HYPHA,2021-11-15T05:24:27.779Z
iampriestess,45000,1.54,45000.00 HYPHA,2021-11-15T05:24:27.088Z
everywherehk,38400,1.32,38400.00 HYPHA,2021-11-15T05:24:27.072Z
vasylmarchuk,35033.74,1.20,35033.74 HYPHA,2021-11-15T05:24:27.781Z
luigicarlini,33532.45,1.15,33532.45 HYPHA,2021-11-15T05:24:27.006Z
paulcarvalho,33173.92,1.14,33173.92 HYPHA,2021-11-15T05:24:27.096Z
seeding1love,32258.84,1.11,32258.84 HYPHA,2021-11-15T05:24:27.744Z
montanath135,30000,1.03,30000.00 HYPHA,2021-11-15T05:24:27.074Z
searchingfor,30000,1.03,30000.00 HYPHA,2021-11-15T05:24:27.779Z
stefanrust12,29053.45,1.00,29053.45 HYPHA,2021-11-15T05:24:27.742Z
esteesh12345,23820.49,0.82,23820.49 HYPHA,2021-11-15T05:24:27.008Z
localscaling,21735.69,0.74,21735.69 HYPHA,2021-11-15T05:24:27.071Z
exponential1,21564.63,0.74,21564.63 HYPHA,2021-11-15T05:24:27.093Z
nomik22kimon,21353.54,0.73,21353.54 HYPHA,2021-11-15T05:24:27.100Z
seedspiyush2,21321.32,0.73,21321.32 HYPHA,2021-11-15T05:24:27.779Z
mightymighty,21262.39,0.73,21262.39 HYPHA,2021-11-15T05:24:27.059Z
georgetaylor,21000,0.72,21000.00 HYPHA,2021-11-15T05:24:27.093Z
abrancusi123,20875.39,0.72,20875.39 HYPHA,2021-11-15T05:24:27.067Z
clarelaverty,18270.46,0.63,18270.46 HYPHA,2021-11-15T05:24:27.100Z
nahimafzal11,17700,0.61,17700.00 HYPHA,2021-11-15T05:24:27.075Z
sonicsphinxy,15204.11,0.52,15204.11 HYPHA,2021-11-15T05:24:27.775Z
alanlaub1111,15000,0.51,15000.00 HYPHA,2021-11-15T05:24:27.063Z
alextrojan43,15000,0.51,15000.00 HYPHA,2021-11-15T05:24:27.062Z
cookieinbali,15000,0.51,15000.00 HYPHA,2021-11-15T05:24:27.097Z
febudfuture1,15000,0.51,15000.00 HYPHA,2021-11-15T05:24:27.078Z
greensurge12,15000,0.51,15000.00 HYPHA,2021-11-15T05:24:27.091Z
iblvnnwwrld1,15000,0.51,15000.00 HYPHA,2021-11-15T05:24:27.016Z
tamsinrose22,15000,0.51,15000.00 HYPHA,2021-11-15T05:24:27.792Z
wearesailing,15000,0.51,15000.00 HYPHA,2021-11-15T05:24:27.782Z
juliomonteir,14360.28,0.49,14360.28 HYPHA,2021-11-15T05:24:27.086Z
rocklandroad,14300,0.49,14300.00 HYPHA,2021-11-15T05:24:27.081Z
sevenflash42,13533.28,0.46,13533.28 HYPHA,2021-11-15T05:24:27.748Z
sanjayrajan1,13328.19,0.46,13328.19 HYPHA,2021-11-15T05:24:27.740Z
theremotecub,12354.27,0.42,12354.27 HYPHA,2021-11-15T05:24:27.775Z
gradinagruiu,9001.85,0.31,9001.85 HYPHA,2021-11-15T05:24:27.007Z
